andrej@andrej:~$ ps -ef
UID        PID  PPID  C STIME TTY          TIME CMD
root       565     1  0 17:55 ?        00:00:00 /usr/sbin/thermald --no-daemon -
syslog     572     1  0 17:55 ?        00:00:00 /usr/sbin/rsyslogd -n
root       578     1  0 17:55 ?        00:00:00 /usr/bin/python3 /usr/bin/networ
root       592     1  0 17:55 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /r
root       619     1  1 17:55 ?        00:00:00 /usr/lib/policykit-1/polkitd --n
root       620     1  0 17:55 ?        00:00:00 /usr/sbin/cups-browsed
root       628     1  0 17:55 ?        00:00:00 /usr/bin/python3 /usr/share/unat
root       640     1  0 17:55 ?        00:00:00 /usr/sbin/lightdm
root       654   640 11 17:55 tty7     00:00:04 /usr/lib/xorg/Xorg -core :0 -sea
root       657     1  0 17:55 tty1     00:00:00 /sbin/agetty -o -p -- \u --nocle
root       674     2  0 17:55 ?        00:00:00 [ath9k-hwrng]
root       684     2  0 17:55 ?        00:00:00 [kworker/u5:1-hc]
root       686     2  0 17:55 ?        00:00:00 [kworker/u5:2-hc]
root       687     1  0 17:55 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root       839   640  0 17:55 ?        00:00:00 lightdm --session-child 12 19
whoopsie   845     1  0 17:55 ?        00:00:00 /usr/bin/whoopsie -f
kernoops   847     1  0 17:55 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops   850     1  0 17:55 ?        00:00:00 /usr/sbin/kerneloops
andrej     861     1  0 17:55 ?        00:00:00 /lib/systemd/systemd --user
root       862     2  0 17:55 ?        00:00:00 [kworker/1:5-mm_]
andrej     864   861  0 17:55 ?        00:00:00 (sd-pam)
andrej     877     1  0 17:55 ?        00:00:00 /usr/bin/gnome-keyring-daemon --
andrej     880   839  0 17:55 ?        00:00:00 /bin/sh /etc/xdg/xfce4/xinitrc -
andrej     895   861  1 17:55 ?        00:00:00 /usr/bin/dbus-daemon --session -
andrej     960   880  0 17:55 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-l
andrej     978   880  0 17:55 ?        00:00:00 xfce4-session
andrej     984   861  0 17:55 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/xf
andrej     991     1  1 17:55 ?        00:00:00 xfwm4 --replace
andrej     995     1  1 17:55 ?        00:00:00 xfce4-panel
andrej     997     1  0 17:55 ?        00:00:00 Thunar --daemon
andrej     999     1  2 17:55 ?        00:00:00 xfdesktop
andrej    1010     1  1 17:55 ?        00:00:00 xfsettingsd
andrej    1026   978  3 17:55 ?        00:00:00 plank
root      1027   536  0 17:55 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/li
andrej    1029   978  1 17:55 ?        00:00:00 update-notifier
andrej    1031   978  0 17:55 ?        00:00:00 light-locker
andrej    1038   978  2 17:55 ?        00:00:00 nm-applet
andrej    1047   978  4 17:55 ?        00:00:01 /usr/bin/python3 /usr/bin/bluema
andrej    1058   978  2 17:55 ?        00:00:00 /usr/bin/python3 /usr/share/syst
andrej    1063   978  0 17:55 ?        00:00:00 /usr/lib/policykit-1-gnome/polki
andrej    1066   861  0 17:55 ?        00:00:00 /usr/lib/dconf/dconf-service
root      1069     1  1 17:55 ?        00:00:00 /usr/lib/upower/upowerd
andrej    1080     1  1 17:55 ?        00:00:00 xfce4-power-manager
andrej    1089   861  0 17:55 ?        00:00:00 /usr/lib/gvfs/gvfsd
andrej    1095   861  0 17:55 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/us
andrej    1113   861  0 17:55 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus
andrej    1118  1113  0 17:55 ?        00:00:00 /usr/bin/dbus-daemon --config-fi
andrej    1122   861  1 17:55 ?        00:00:00 /usr/lib/i386-linux-gnu/tumbler-
andrej    1127   861  0 17:55 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-re
andrej    1131     1  0 17:55 ?        00:00:00 /usr/bin/pulseaudio --start --lo
rtkit     1132     1  0 17:55 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
andrej    1140   861  1 17:55 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/no
andrej    1168   995  1 17:55 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/pa
andrej    1183   995  2 17:55 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/pa
root      1190     2  0 17:55 ?        00:00:00 [krfcommd]
andrej    1193   995  1 17:55 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/pa
andrej    1199   995  1 17:55 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/pa
andrej    1201   995  1 17:55 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/pa
andrej    1202   995  1 17:55 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/pa
andrej    1204   995  1 17:55 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/pa
andrej    1207   995  1 17:55 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/pa
andrej    1208   995  0 17:55 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/pa
andrej    1209   861  0 17:55 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volum
andrej    1213   861  0 17:55 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volum
andrej    1217   861  0 17:55 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-mo
andrej    1222   861  0 17:55 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-mo
andrej    1227   861  0 17:55 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-mo
andrej    1258   861  0 17:55 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
andrej    1280   861  0 17:55 ?        00:00:00 /usr/lib/vala-panel/appmenu-regi
andrej    1284   861  2 17:55 ?        00:00:00 /usr/lib/i386-linux-gnu/bamf/bam
andrej    1293   861  0 17:55 ?        00:00:00 /usr/lib/i386-linux-gnu/indicato
andrej    1393   861  0 17:55 ?        00:00:00 /usr/lib/bluetooth/obexd
root      1399     1  2 17:55 ?        00:00:00 /usr/bin/python3 /usr/lib/bluema
andrej    1451     1 83 17:55 ?        00:00:09 /usr/bin/python3 /usr/bin/update
andrej    1465     1  5 17:55 ?        00:00:00 /usr/bin/xfce4-terminal
andrej    1471  1465  0 17:55 pts/0    00:00:00 bash
root      1498     1  0 17:55 ?        00:00:00 /lib/systemd/systemd-timedated
andrej    1501  1471  0 17:55 pts/0    00:00:00 ps -ef
